,LICIPD.BALANCESHEET.SHAREHOLDERS.Q,LICIPD.BALANCESHEET.POLICYHOLDERS.Q,LICIPD.BALANCESHEET.ASSETSLINKEDLIABILITIES.Q,LICIPD.INVPHS.LONGTERM.GOVTSECS.Q,LICIPD.INVPHS.LONGTERM.OTHAPPRSECS.Q,LICIPD.INVPHS.LONGTERM.EQUITY.Q,LICIPD.INVPHS.LONGTERM.PREFERENCE.Q,LICIPD.INVPHS.LONGTERM.MUTUALFUND.Q,LICIPD.INVPHS.LONGTERM.DEBENTBOND.Q,LICIPD.INVPHS.LONGTERM.DEPOSSSF.Q,LICIPD.INVPHS.LONGTERM.OTHSECSBOND.Q,LICIPD.INVPHS.LONGTERM.CONTRUTI.Q,LICIPD.INVPHS.LONGTERM.SUBSIDIARIES.Q,LICIPD.INVPHS.LONGTERM.REALESTATE.Q,LICIPD.INVPHS.LONGTERM.INFRASOCIALSECTOR.Q,LICIPD.INVPHS.LONGTERM.OTHERNONAPPROVED.Q,LICIPD.INVPHS.LONGTERM.PROVISIONDOUBTFUL.Q,LICIPD.INVPHS.SHORTTERM.GOVTSECS.Q,LICIPD.INVPHS.SHORTTERM.OTHAPPRSECS.Q,LICIPD.INVPHS.SHORTTERM.EQUITY.Q,LICIPD.INVPHS.SHORTTERM.PREFERENCE.Q,LICIPD.INVPHS.SHORTTERM.MUTUALFUND.Q,LICIPD.INVPHS.SHORTTERM.DEBENTBOND.Q,LICIPD.INVPHS.SHORTTERM.OTHSECSBOND.Q,LICIPD.INVPHS.SHORTTERM.INFRASOCIALSECTOR.Q,LICIPD.INVPHS.SHORTTERM.OTHERNONAPPROVED.Q,LICIPD.INVPHS.SHORTTERM.PROVISIONDOUBTFUL.Q,LICIPD.INVPHS.SHORTTERM.TOTAL.Q,LICIPD.INVLINKED.LONGTERM.GOVTSECS.Q,LICIPD.INVLINKED.LONGTERM.OTHAPPRSECS.Q,LICIPD.INVLINKED.LONGTERM.EQUITY.Q,LICIPD.INVLINKED.LONGTERM.PREFERENCE.Q,LICIPD.INVLINKED.LONGTERM.MUTUALFUND.Q,LICIPD.INVLINKED.LONGTERM.DEBENTBOND.Q,LICIPD.INVLINKED.LONGTERM.OTHSECSBOND.Q,LICIPD.INVLINKED.LONGTERM.INFRASOCIALSECTOR.Q,LICIPD.INVLINKED.LONGTERM.OTHERNONAPPROVED.Q,LICIPD.INVLINKED.SHORTTERM.GOVTSECS.Q,LICIPD.INVLINKED.SHORTTERM.OTHAPPRSECS.Q,LICIPD.INVLINKED.SHORTTERM.MUTUALFUND.Q,LICIPD.INVLINKED.SHORTTERM.DEBENTBOND.Q,LICIPD.INVLINKED.SHORTTERM.OTHSECSBOND.Q,LICIPD.INVLINKED.SHORTTERM.INFRASOCIALSECTOR.Q,LICIPD.INVLINKED.SHORTTERM.OTHERNONAPPROVED.Q,LICIPD.INVLINKED.SHORTTERM.NETCURRASST.Q,LICIPD.INVLINKED.SHORTTERM.TOTAL.Q,LICIPD.REVENUEACCOUNT.PREMIUMSNET.Q,LICIPD.REVENUEACCOUNT.INTDIVINCOME.Q,LICIPD.REVENUEACCOUNT.INVGAINLOSSSALE.Q,LICIPD.REVENUEACCOUNT.INVGAINLOSSREVAL.Q,LICIPD.REVENUEACCOUNT.OTHERINCOME.Q,LICIPD.REVENUEACCOUNT.TOTALINCOME.Q,LICIPD.REVENUEACCOUNT.OPERATINGEXP.Q,LICIPD.REVENUEACCOUNT.BENEFITSPAID.Q,LICIPD.REVENUEACCOUNT.BONUSESPAID.Q,LICIPD.REVENUEACCOUNT.NETINCOME.Q
,Balance Sheet L-3 Shareholders,Balance Sheet L-3 Policyholders,Balance Sheet L-3 Asset Held to Cover Linked Liabilities,L-13 Long term investments Government securities and Government guaranteed bonds including Treasury Bills,L-13 Long term investments Other Approved Securities,L-13 Long term investments Equity,L-13 Long term investments Preference,L-13 Long term investments Mutual Funds,L-13 Long term investments Debentures/ Bonds,L-13 Long term investments Deposits with Social Security Fund,L-13 Long term investments Other Securities and Bonds,L-13 Long term investments Initial contribution to UTI II capital,L-13 Long term investments Subsidiaries,L-13 Long term investments Investment Properties-Real Estate,L-13 Long term investments Investments in Infrastructure and Social Sector,L-13 Long term investments Other than Approved Investments,L-13 Long term investments Provision for Doubtful Investments,L-13 Short term investments Government securities and Government guaranteed bonds including Treasury Bills,L-13 Short term investments Other Approved Securities,L-13 Short term investments Equity,L-13 Short term investments Preference,L-13 Short term investments Mutual Funds,L-13 Short term investments Debentures/ Bonds,L-13 Short term investments Other Securities,L-13 Short term investments Investments in Infrastructure and Social Sector,L-13 Short term investments Other than Approved Investments,L-13 Short term investments Provision for Doubtful Investments,L-13 Short term investments Total,L-14 Long term investments Government securities and Government guaranteed bonds including Treasury Bills,L-14 Long term investments Other Approved Securities,L-14 Long term investments Equity,L-14 Long term investments Preference,L-14 Long term investments Mutual Funds,L-14 Long term investments Debentures/ Bonds,L-14 Long term investments Other Securities,L-14 Long term investments Investments in Infrastructure and Social Sector,L-14 Long term investments Other than Approved Investments,L-14 Short term investments Government securities and Government guaranteed bonds including Treasury Bills,L-14 Short term investments Other Approved Securities,L-14 Short term investments Mutual Funds,L-14 Short term investments Debentures/ Bonds,L-14 Short term investments Other Securities,L-14 Short term investments Investments in Infrastructure and Social Sector,L-14 Short term investments Other than Approved Investments,L-14 Short term investments Other Current Assets (Net),L-14 Short term investments Total,Revenue Account L-1 Premiums earned – net (sum of Premium & Reinsurance ceded & Reinsurance accepted),Revenue Account L-1 Interest Dividends and Rent – Gross,Revenue Account L-1 Investment Gain/Loss On Sale/Redemption (sum of Profit & Lose on sale/redemption of investments),Revenue Account L-1 Transfer/Gain on revaluation/change in fair value,Revenue Account L-1 Other Income,Revenue Account L-1 Total (A),Revenue Account L-1 Total (B),Revenue Account L-1 Benefits Paid (Net),Revenue Account L-1 Bonuses Paid,Revenue Account L-1 Net Income ( it is the sum of TOTAL (A) TOTAL (B) Benefits Paid and Bonuses paid)
2022-Q2,1043687.34,390868863.47,2262056.11,250247985.01,1867374.63,77008665.75,NA,686126.15,8360363.06,NA,21098.80,NA,3225940.93,1439215.76,29576674.22,9443357.60,-1506288.99,7381835.06,354392.81,NA,NA,1614607.31,479769.36,NA,672158.38,1168484.73,-1172897.10,390868863.47,748466.20,412.76,1136781.70,NA,NA,15336.72,NA,156200.52,41236.22,21068.17,6039.55,80169.64,7.46,NA,30729.84,NA,25607.33,2262056.11,9835176.47,6682364.76,507631.89,-232915.43,16009.20,16808266.89,1866538.59,6805150.86,60520.05,25540476.39
2022-Q3,946700.56,409937461.40,2449557.44,259378052.07,1867248.51,83169396.29,NA,706751.73,8887619.46,NA,NA,NA,3225940.92,1439269.36,30684113.85,10751908.10,-1326990.40,7534703.20,354361.04,NA,NA,2010865.32,578917.76,NA,680260.56,1160126.02,-1165082.39,409937461.40,831164.16,409.04,1260043.62,NA,NA,10525.30,NA,173339.15,50608.18,4930.88,6002.92,61192.21,NA,NA,30488.65,NA,20853.33,2449557.44,13210413.72,6795704.48,1530636.61,84023.80,679511.23,22300289.84,2715847.34,8338632.14,88272.61,33443041.93
2022-Q4,2379176.53,422805047.76,2614924.58,264603376.82,1577603.06,87510036.40,NA,849606.94,9075479.37,NA,NA,NA,3225940.92,1421906.4,32067806.1,1252770.13,-1104006.07,8302104.53,289609.15,NA,NA,1322525.17,505817.76,NA,634351.41,1044923.15,-1049403.48,422805047.8,874741.89,5.13,1361969.2,NA,NA,12568.74,NA,182044.08,61719.46,10020.16,403.9,62203.33,NA,NA,30292.6,NA,18956.09,2614924.58,-24909.2,6809453.29,1646407.92,31042.41,20975.83,19686639.78,767352.91,7721708.87,124326.21,28300027.77
2023-Q1,2936352.68,418917775.51,2630954.25,267916595.65,1262497.12,82593532.35,NA,1003957.37,9045851.52,NA,20898.71,NA,3223466.82,1695728.7,31241415.52,9625397.18,-782384.7,9177288.97,604499.12,NA,NA,564153.1,890589.1,NA,841144.54,297945.16,-304800.72,418917775.51,919323.54,5.13,1356797.99,NA,NA,5094.62,NA,180714.07,76726.13,29604.01,401.8,28391.94,3814.8,NA,7002.36,NA,23077.86,2630954.25,-20275.7,7080972.99,-220742,-75567.16,48357.33,20010170.83,1073432.42,11065775.41,53288.97,32202667.63
2023-Q2,4505546.93,439074300.8,2867376.82,274983476.4,1262434.9,94592086.98,NA,1047672.67,8839424.68,NA,19728.07,NA,3223466.82,1697272.47,32461958.88,7042115.39,-555817.61,9303931.55,604435.21,NA,NA,3050922.41,841650.67,NA,665507.89,289108.86,-295075.5,439074300.76,935673,5.14,1521109.97,NA,NA,1996.66,NA,200810.86,45290.93,35940.31,401.61,84443.74,3811.14,NA,NA,NA,37893.46,2867376.82,9836275.35,7432312.63,1448362.86,150262.49,7554.16,18874767.49,1142121.38,7417630.26,66824.68,27501343.81
2023-Q3,5078654.05,45025019.36,2995347.45,282958151.9,1149971.23,101637136,NA,1062215.59,11085756.02,NA,19191.96,NA,3223466.82,1697440.85,29506607.65,5849137.99,-553348.54,9795805.85,716772.76,NA,NA,1395168.88,926709.35,NA,560785,289065.97,-295015.95,451025019.4,1019510.72,5.1,1613804.05,NA,NA,1957.76,NA,150502.84,48996.31,36526.39,400.46,97806.71,3802.02,NA,NA,NA,22035.09,2995347.45,10739676.72,7237500.33,2146827.04,9893.01,24805.32,20158702.42,1963126.16,8255251.96,81137.87,30458218.41
2023-Q4,5708712.56,472446036.4,3294530.73,287098455.4,841366.05,112938774.4,NA,1097957.98,12106527.48,NA,20284.34,NA,3223466.82,1697708.26,32715166.25,7475719.57,-598655.12,10117978.14,735928.98,NA,NA,1475600.15,626705.79,NA,879075.06,259088.81,-265111.93,472446036.4,1063934.21,5.12,1798634.42,NA,NA,2042.61,500,168145.9,50690.53,31956.26,NA,117483.11,3777.75,29550,3011.87,NA,24798.95,3294530.73,32277644.59,22126025.22,5506252.04,319569.74,48743.12,60278234.71,5053446.49,25130718.21,239891.84,90702291.25
2024-Q1,63743.97,"48,76,512.40",35257.82,"28,92,051.42",6534.33,"12,18,669.38",NA,21623.32,"1,22,696.73",NA,194.62,NA,32234.67,16979.84,340579.48,70393.73,-6265.06,112162.77,6088.16,NA,NA,9976.07,6749.17,NA,25973.53,2590.34,-2720.1,4876512.4,10815.26,0.05,20397.31,NA,NA,10.18,NA,1779.23,603.76,162.04,NA,593.42,10.39,300.5,134.78,NA,450.9,35257.82,475069.59,296321.99,63754.82,3867.11,14648.36,853674.84,77120.9,385949.15,2860.18,1319605.07
2024-Q2,70286.13,5079688.7,38680.04,2942113.55,6533.91,1344735.87,NA,23571.26,122633.44,NA,194.39,NA,32234.67,16979.23,378605.62,54001.11,-6295.54,103479.37,6087.96,NA,NA,20929.96,6745.17,NA,27273.28,2590.11,-2724.66,5079688.7,10929.3,0.05,24013.74,NA,NA,10.04,NA,1919.99,92.89,199.53,NA,658.57,10.05,300.5,134.67,NA,410.71,38680.04,113770.14,78912.51,15976.07,1567.3,145.48,210908.05,15006.66,81135.2,729.11,307779.02
